Download limits,,
Time-frame,Max Days Back,Max Num
m1,16,"10,000"
m5,56,"10,000"
m15,212,"10,000"
m30,316,"10,000"
h1,624,"10,000"
h2,1224,"10,000"
h3,2056,"10,000"
h4,2664,"10,000"
h6,3632,"10,000"
h8,5128,"10,000"
"D1, W1, M1",no limit,no limit
